id,secret_id,order,angle,text,trigger_kind
ID,Secret ID,Order,Fragment angle,Fragment text,Trigger type
upper_world_feeds_on_ascenders_1,upper_world_feeds_on_ascenders,1,Nenhum Ascendido Retorna,"Os cultivadores que ascenderam nunca voltaram de verdade. Os registros das seitas mencionam apenas nuvens rosadas que vieram recebê-los, mas ninguém jamais enviou uma mensagem do reino superior.",city
upper_world_feeds_on_ascenders_2,upper_world_feeds_on_ascenders,2,Rosto no Firmamento,"Após uma tribulação de ascensão, um rosto gigantesco surgiu por um instante no céu, como se observasse oferendas através das nuvens.",insight
upper_world_feeds_on_ascenders_3,upper_world_feeds_on_ascenders,3,Cinzas de Ossos sob a Plataforma de Ascensão,"Uma grande quantidade de pó de ossos carbonizados está enterrada sob uma antiga plataforma de ascensão. A análise mostra que não são restos de feras demoníacas, mas fragmentos dos ossos do Dao de cultivadores de reinos elevados.",region
upper_world_feeds_on_ascenders_4,upper_world_feeds_on_ascenders,4,O Ancestral Fracassado,"Um ancestral que não conseguiu ascender passou anos enlouquecido, repetindo apenas: 'Além da porta não está o reino imortal. É o espaço entre os dentes.'",city
upper_world_feeds_on_ascenders_5,upper_world_feeds_on_ascenders,5,Traços de uma Formação Sacrificial,"Certos padrões dos rituais de ascensão não formam estruturas para 'subir'. Eles se parecem com formações sacrificiais que embalam sangue essencial, alma e compreensão do Dao para serem entregues.",region
upper_world_feeds_on_ascenders_6,upper_world_feeds_on_ascenders,6,Favores Imortais para Amadurecer,"As 'oportunidades imortais' que às vezes descem do reino superior sempre induzem cultivadores a avançar mais depressa, como ração espalhada por um criador para acelerar o amadurecimento.",insight
fake_sky_1,fake_sky,1,Estrelas Desalinhadas,"Às vezes, o céu pisca por um instante quase imperceptível, e as estrelas mudam para posições que violam todos os padrões celestes.",insight
fake_sky_2,fake_sky,2,Barreira Invisível,"Quando cultivadores de reinos elevados tentam ascender, não é que sejam incapazes de ultrapassar o céu. Em determinada altura, eles se chocam contra uma parede invisível.",region
fake_sky_3,fake_sky,3,Mapas Estelares Antigos,"Os mapas estelares registrados em livros antigos são completamente diferentes do céu atual. Ainda assim, as linhas ley, montanhas, rios e posições das seitas continuam correspondendo ponto por ponto.",city
fake_sky_4,fake_sky,4,Destroços de Além do Céu,"Numa região remota, alguém encontrou os restos de um 'visitante de além do céu'. Não eram de carne, mas peças unidas de jade, ferro e placas de cristal transparente.",region
fake_sky_5,fake_sky,5,Atraso na Projeção,"Dentro de certos reinos secretos, o céu se atrasa por várias respirações em relação ao céu exterior, como se duas projeções fossem movidas por discos de formação diferentes.",city
