id,title,secret,weight
ID,Title,Complete secret,Random weight
none,Nenhum,,0
upper_world_feeds_on_ascenders,Poderes do Reino Superior Se Alimentam dos Ascendidos,"Ascender não significa transcender, mas entrar no pasto mantido pelos poderes do reino superior. Os cultivadores que alcançam o auge deste mundo são apenas ervas espirituais maduras e alimento de sangue.",10
fake_sky,O Céu Deste Mundo É Falso,"O céu não é um firmamento natural, mas uma vasta barreira que encobre a verdade. O sol, a lua e as estrelas são projeções, e o mundo verdadeiro está selado dentro de algum recipiente ou prisão.",10
mad_heavenly_dao,A Vontade dos Céus Enlouqueceu,"A vontade dos Céus que sustenta a ordem deste mundo se desfez. Relâmpagos de tribulação, sorte, carma e longevidade ainda funcionam, mas cada vez mais como espasmos de uma criatura enlouquecida.",10
simulated_world_code,O Mundo É um Código Simulado,"O mundo do cultivo é uma simulação: qi espiritual, reinos, destino e acontecimentos são regidos por um código invisível. O que os cultivadores chamam de iluminação é apenas o contato com as interfaces dessas regras.",10
spiritual_qi_is_dead_memories,O Qi Espiritual É a Memória dos Mortos,"O qi espiritual do céu e da terra não surge naturalmente. Ele é o eco diluído de memórias trituradas após incontáveis gerações de seres vivos morrerem. Ao absorver qi, os cultivadores devoram os sonhos despedaçados de inúmeros mortos.",10
sects_on_colossal_corpses,Todas as Seitas Foram Erguidas sobre Cadáveres Colossais,"As montanhas e os rios famosos deste mundo não são formações naturais, mas carcaças desgastadas de feras colossais da antiguidade. As veias espirituais sob as grandes seitas são, na verdade, medula e meridianos que ainda não esfriaram.",10
reincarnation_is_copying,A Reencarnação Não Existe; Renascer É Ser Copiado,"Os mortais acreditam que as almas reencarnam, mas o chamado renascimento é apenas uma cópia fabricada pelos Céus a partir de informações residuais. Os verdadeiros mortos jamais retornaram.",10
yao_are_previous_humans,Os Yao Eram Humanos da Era Anterior,"Os yao não são uma raça alienígena, mas descendentes deformados dos humanos que sobreviveram à era anterior, antes de o mundo ser reiniciado. A guerra entre humanos e yao é uma família matando a si mesma depois de esquecer sua origem.",10
realms_are_artificial_shackles,Os Reinos de Cultivo São Grilhões Artificiais,"Refinamento de Qi, Estabelecimento da Fundação, Núcleo Dourado, Alma Nascente e os demais reinos não fazem parte do Grande Dao natural. São travas impostas por seres antigos para limitar o crescimento dos cultivadores.",10
moon_is_an_eye,A Lua É um Olho que Observa Este Mundo,"A lua não é um astro, mas um olho gigantesco suspenso além dos céus. O luar é o seu olhar, e os cultivadores que o absorvem são pouco a pouco registrados e marcados.",10
secret_realms_are_tumors,Os Reinos Secretos São Tumores Gerados pelo Mundo,"Os reinos secretos não são grutas celestiais abençoadas, mas lesões formadas pelo crescimento desordenado das regras do mundo. Os cultivadores que entram em busca de tesouros se alimentam do tecido doente da própria realidade.",10
dead_gods_answer_prayers,Os Deuses e Budas Estão Mortos; Seus Cadáveres Atendem às Preces,"Os deuses e budas percebidos nos rituais não são divindades vivas, mas respostas automáticas deixadas em cadáveres divinos ancestrais. Quanto mais fiéis os veneram, mais esses corpos voltam a se contorcer.",10
